Customer,First Name,Last Name,Street1,Street2,City,State,Zip,Email
"Feltz Printing Service","Lenna","Paprocki","639 Main St","Anchorage","Anchorage","AK",99501,"lpaprocki@hotmail.com"
"Printing Dimensions","Donette","Foller","34 Center St","Hamilton","Butler","OH",45011,"donette.foller@cox.net"
"Chapman, Ross E Esq","Simona","Morasca","3 Mcauley Dr","Ashland","Ashland","OH",44805,"simona@morasca.com"
"Morlong Associates","Mitsue","Tollner","7 Eads St","Chicago","Cook","IL",60632,"mitsue_tollner@yahoo.com"
"Commercial Press","Leota","Dilliard","7 W Jackson Blvd","San Jose","Santa Clara","CA",95111,"leota@hotmail.com"
"Truhlar And Truhlar Attys","Sage","Wieser","5 Boston Ave #88","Sioux Falls","Minnehaha","SD",57105,"sage_wieser@cox.net"
"King, Christopher A Esq","Kris","Marrier","228 Runamuck Pl #2808","Baltimore","Baltimore City","MD",21224,"kris@gmail.com"
"Dorl, James J Esq","Minna","Amigon","2371 Jerrold Ave","Kulpsville","Montgomery","PA",19443,"minna_amigon@yahoo.com"
"Rangoni Of Florence","Abel","Maclead","37275 St  Rt 17m M","Middle Island","Suffolk","NY",11953,"amaclead@gmail.com"
"Feiner Bros","Kiley","Caldarera","25 E 75th St #69","Los Angeles","Los Angeles","CA",90034,"kiley.caldarera@aol.com"
"Buckley Miller & Wright","Graciela","Ruta","98 Connecticut Ave Nw","Chagrin Falls","Geauga","OH",44023,"gruta@cox.net"
"Rousseaux, Michael Esq","Cammy","Albares","56 E Morehead St","Laredo","Webb","TX",78045,"calbares@gmail.com"
